# mirror design exported by jaxmirror
# angle of incidence: 45 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/Si/Franta-20C, thickness 100000 nm
# substrate: main/Si/Franta-20C
# tabulated-data smoothing: sigma = 0.5 nm
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
7.320499999999999829e+01,6.277405225655391385e-01,3.940581636708561653e-01,-1.551021215756991145e+00,-3.102042431513983178e+00,4.024873663834618344e-03,8.049747330076951340e-03
7.380000000000001137e+01,6.334822009252315533e-01,4.012996988890756844e-01,-1.565280628683556108e+00,-3.130561257367113104e+00,1.308368755993853097e-03,2.616737507390723676e-03
7.439499999999999602e+01,6.392865425586705674e-01,4.086872834966184809e-01,-1.579257190205785033e+00,-3.158514380411571398e+00,-1.602265844725531780e-03,-3.204531684026213322e-03
7.499000000000000909e+01,6.450500205026693523e-01,4.160895289504941696e-01,-1.593077430331962141e+00,-3.186154860663925614e+00,-4.741380757615177959e-03,-9.482761507165496373e-03
7.558499999999999375e+01,6.506897325569955814e-01,4.233971280550940519e-01,-1.606867316815382418e+00,-3.213734633630765725e+00,-8.148225194532272495e-03,-1.629645038294522813e-02
7.618000000000000682e+01,6.561411338727934917e-01,4.305211875598757287e-01,-1.620753394015473026e+00,-3.241506788030947384e+00,-1.186298414176478223e-02,-2.372596828092528309e-02
7.677499999999999147e+01,6.613565430677945667e-01,4.373924770585835287e-01,-1.634862902156505537e+00,-3.269725804313011519e+00,-1.410260007074046196e-02,-2.820520013794957509e-02
7.737000000000000455e+01,6.663402868534472612e-01,4.440093778839340755e-01,-1.649247920436665682e+00,-3.298495840873332252e+00,-1.194415982452622788e-02,-2.388831964568677649e-02
7.796500000000000341e+01,6.711551314291259729e-01,4.504492104436471633e-01,-1.663829228289647855e+00,-3.327658456579296598e+00,-9.799418562788812792e-03,-1.959883712555830770e-02
7.856000000000001648e+01,6.758425097633489198e-01,4.567630980032227894e-01,-1.678520446577887348e+00,-3.357040893155775141e+00,-7.605688388817491430e-03,-1.521137678231742653e-02
7.915500000000001535e+01,6.804164353974311297e-01,4.629665255589468509e-01,-1.693239749631281432e+00,-3.386479499262563753e+00,-5.309677940951482156e-03,-1.061935588505513901e-02
7.975000000000001421e+01,6.848663052193754153e-01,4.690418560248386104e-01,-1.707907949993370478e+00,-3.415815899986742288e+00,-2.866883184704649336e-03,-5.733766368950512886e-03
8.034499999999999886e+01,6.891601742747996973e-01,4.749417458064729702e-01,-1.722447090349495946e+00,-3.444894180698992781e+00,-2.410446306739874990e-04,-4.820892593587818454e-04
8.094000000000001194e+01,6.932482645232933560e-01,4.805931562645579525e-01,-1.736779459423236638e+00,-3.473558918846474608e+00,2.596421040438823095e-03,5.192842079536387490e-03
8.153499999999999659e+01,6.970665199509846754e-01,4.859017332365764830e-01,-1.750826958196808114e+00,-3.501653916393617116e+00,5.667140244127743393e-03,1.133428048893699719e-02
8.213000000000000966e+01,7.005400584220151661e-01,4.907563734539199252e-01,-1.764510747959944892e+00,-3.529021495919891116e+00,8.986764922518309523e-03,1.797352984540760354e-02
8.272500000000000853e+01,7.035894536706683855e-01,4.950381193165894200e-01,-1.777754400572590487e+00,-3.555508801145181863e+00,9.655820041583879423e-03,1.931164008314335129e-02
8.332000000000000739e+01,7.062022312536048174e-01,4.987215914275702211e-01,-1.790554282639356121e+00,-3.581108565278713129e+00,7.663217323314042151e-03,1.532643464663012087e-02
8.391500000000000625e+01,7.084419932378069884e-01,5.018900577827570819e-01,-1.802973756059854660e+00,-3.605947512119710652e+00,5.852700323652349455e-03,1.170540064727336113e-02
8.451000000000000512e+01,7.103840484423546986e-01,5.046454962813492484e-01,-1.815070665804644268e+00,-3.630141331609289868e+00,4.186521345649777369e-03,8.373042691327462969e-03
8.510500000000000398e+01,7.121107193146276604e-01,5.071016765627970324e-01,-1.826895669285322654e+00,-3.653791338570646641e+00,2.636815862462281532e-03,5.273631725001610808e-03
8.570000000000000284e+01,7.137097796293027097e-01,5.093816495385075083e-01,-1.838493456916409530e+00,-3.676986913832819948e+00,1.183303276126792571e-03,2.366606552272279822e-03
8.629500000000000171e+01,7.152730966361755538e-01,5.116156027715035304e-01,-1.849903675302114525e+00,-3.699807350604229939e+00,-1.887124037391268256e-04,-3.774248075581362037e-04
8.689000000000000057e+01,7.168954737755697249e-01,5.139391203198989677e-01,-1.861161635019371374e+00,-3.722323270038744081e+00,-1.490112747346216196e-03,-2.980225494634574160e-03
8.748499999999999943e+01,7.186736874176606893e-01,5.164918689864980150e-01,-1.872298868195491073e+00,-3.744597736390983034e+00,-2.729553173176679608e-03,-5.459106346328792062e-03
8.807999999999999829e+01,7.207057088740723705e-01,5.194167188036794558e-01,-1.883343587707043909e+00,-3.766687175414089150e+00,-3.914898623867885293e-03,-7.829797247770520566e-03
8.867500000000001137e+01,7.230782650947344958e-01,5.228421774524105725e-01,-1.894319097716425038e+00,-3.788638195432850964e+00,-3.941011074703674143e-03,-7.882022149459140190e-03
8.927000000000001023e+01,7.257637398921961136e-01,5.267330061423072252e-01,-1.905227910517823586e+00,-3.810455821035647617e+00,-3.612010142312362983e-03,-7.224020284942869914e-03
8.986500000000000909e+01,7.286711944303493338e-01,5.309617095925518448e-01,-1.916063411330368504e+00,-3.832126822660738341e+00,-3.375543202400738043e-03,-6.751086403675568559e-03
9.046000000000000796e+01,7.317104792073186870e-01,5.354002253818040957e-01,-1.926821104280683095e+00,-3.853642208561367077e+00,-3.220670395715642242e-03,-6.441340792481849500e-03
9.105500000000000682e+01,7.347930748046999083e-01,5.399208627809451988e-01,-1.937498347128184362e+00,-3.874996694256370056e+00,-3.137320272974913372e-03,-6.274640545828148903e-03
9.165000000000000568e+01,7.378322489408066787e-01,5.443964275770483141e-01,-1.948094012639064010e+00,-3.896188025278128908e+00,-3.116884578206996492e-03,-6.233769157437596062e-03
9.224500000000000455e+01,7.407432571863199477e-01,5.487005730669989312e-01,-1.958608207675600843e+00,-3.917216415351202574e+00,-3.152736766130429663e-03,-6.305473532459510318e-03
9.284000000000000341e+01,7.434435919923871872e-01,5.527083744745434624e-01,-1.969042052765573869e+00,-3.938084105531148182e+00,-3.240686529126763672e-03,-6.481373058046037069e-03
9.343500000000000227e+01,7.458532809774165440e-01,5.562971167447777754e-01,-1.979397522933291853e+00,-3.958795045866585038e+00,-3.379379978216674827e-03,-6.758759956367450979e-03
9.403000000000000114e+01,7.478952322018305177e-01,5.593472783502297929e-01,-1.989677349075764656e+00,-3.979354698151529757e+00,-3.570652708089534604e-03,-7.141305416237942252e-03
9.462500000000001421e+01,7.495126099574020984e-01,5.617691524851576856e-01,-1.999882629716148719e+00,-3.999765259432298325e+00,-2.770153472009382993e-03,-5.540306944083057440e-03
