# mirror design exported by jaxmirror
# angle of incidence: 0 deg
# phase convention sign: +1
# incident medium: Air (n=1)
# layer 1: main/MgF2/Franta, thickness 20 nm
# substrate: main/Al/Rakic
# columns: wavelength_nm, R_s, R_p, phase_s_rad, phase_p_rad, GDD_s_fs2, GDD_p_fs2
8.689000000000000057e+01,2.132209660148649544e-01,2.132209660148649544e-01,-2.540871274559207915e+00,6.007213790305852008e-01,1.007915374947754988e-01,1.007915374947754988e-01
8.748499999999999943e+01,2.129888439282129897e-01,2.129888439282129897e-01,-2.564109299618821947e+00,5.774833539709711694e-01,1.137880637530496314e-01,1.137880637530496314e-01
8.807999999999999829e+01,2.125985204155473041e-01,2.125985204155473041e-01,-2.584648548107627342e+00,5.569441054821661075e-01,1.040122134416715804e-01,1.040122134416716082e-01
8.867500000000001137e+01,2.125143095097697665e-01,2.125143095097697665e-01,-2.602796073569753510e+00,5.387965800200398281e-01,7.018907219651943086e-02,7.018907219651944474e-02
8.927000000000001023e+01,2.131250640328111734e-01,2.131250640328111734e-01,-2.619310321775896178e+00,5.222823318138968274e-01,1.956475582694549090e-02,1.956475582694549090e-02
8.986500000000000909e+01,2.146481155909782390e-01,2.146481155909782390e-01,-2.635239946505435693e+00,5.063527070843575340e-01,-4.383298311863476071e-02,-4.383298311863476071e-02
9.046000000000000796e+01,2.170927870537670001e-01,2.170927870537670001e-01,-2.651778400314574569e+00,4.898142532752186584e-01,-1.049700928127537125e-01,-1.049700928127537125e-01
9.105500000000000682e+01,2.202525005525529378e-01,2.202525005525529100e-01,-2.670026848589055479e+00,4.715658050007376922e-01,-1.536601890704413220e-01,-1.536601890704413220e-01
9.165000000000000568e+01,2.237256033244476028e-01,2.237256033244476028e-01,-2.690788606578848441e+00,4.508040470109448972e-01,-1.799230684260534618e-01,-1.799230684260534618e-01
9.224500000000000455e+01,2.269775908874635817e-01,2.269775908874635817e-01,-2.714437083104165982e+00,4.271555704856274116e-01,-1.820339750817005220e-01,-1.820339750817005220e-01
9.284000000000000341e+01,2.294218989610025683e-01,2.294218989610025683e-01,-2.740892816270947829e+00,4.006998373188455087e-01,-1.612588478071912690e-01,-1.612588478071912690e-01
9.343500000000000227e+01,2.305056196743008878e-01,2.305056196743008878e-01,-2.769691013624754561e+00,3.719016399650387217e-01,-1.203424774844362305e-01,-1.203424774844362305e-01
9.403000000000000114e+01,2.297727890006076024e-01,2.297727890006076024e-01,-2.800081033645516193e+00,3.415116199442768674e-01,-6.574148570423708760e-02,-6.574148570423708760e-02
9.462500000000001421e+01,2.269068309574921172e-01,2.269068309574921172e-01,-2.831133490328029190e+00,3.104591632617640373e-01,-1.381112154744564263e-03,-1.381112154744564263e-03
9.521999999999999886e+01,2.217428384352156667e-01,2.217428384352156667e-01,-2.861804876738986536e+00,2.797877768508064689e-01,7.371397997646643441e-02,7.371397997646643441e-02
9.581500000000001194e+01,2.142589492395456929e-01,2.142589492395456929e-01,-2.890970327456932498e+00,2.506223261328608953e-01,1.576333698693540564e-01,1.576333698693540564e-01
9.640999999999999659e+01,2.045442646533741082e-01,2.045442646533741082e-01,-2.917393185633959884e+00,2.241994679558335091e-01,2.657990036161182457e-01,2.657990036161182457e-01
9.700500000000000966e+01,1.927575989063067541e-01,1.927575989063067541e-01,-2.939604071793742612e+00,2.019885817960506702e-01,4.157025496319656788e-01,4.157025496319656788e-01
9.759999999999999432e+01,1.790998564902614998e-01,1.790998564902614998e-01,-2.955585517324258671e+00,1.860071362655346672e-01,6.604670790855559082e-01,6.604670790855559082e-01
9.819500000000000739e+01,1.638844185704076695e-01,1.638844185704076695e-01,-2.962100049145659053e+00,1.794926044441343682e-01,1.082238751785297604e+00,1.082238751785297604e+00
9.879000000000000625e+01,1.478231614264399196e-01,1.478231614264399196e-01,-2.953719869418391486e+00,1.878727841714016022e-01,1.748453975213982492e+00,1.748453975213982492e+00
9.938500000000001933e+01,1.325645872444363715e-01,1.325645872444363715e-01,-2.922424905267165585e+00,2.191677483226278089e-01,2.469910338475773237e+00,2.469910338475773237e+00
9.998000000000000398e+01,1.212347674136629999e-01,1.212347674136629999e-01,-2.860845858313926016e+00,2.807467952758670449e-01,2.305665362060606238e+00,2.305665362060606682e+00
1.005750000000000171e+02,1.180577935168379694e-01,1.180577935168379694e-01,-2.772896369597622979e+00,3.686962839921700819e-01,2.290266251625504568e-01,2.290266251625507621e-01
1.011700000000000017e+02,1.262289786742602782e-01,1.262289786742602782e-01,-2.682670682997211564e+00,4.589219705925818293e-01,-2.444599661393929146e+00,-2.444599661393929146e+00
1.017650000000000148e+02,1.452591746382664584e-01,1.452591746382664584e-01,-2.619647133411649342e+00,5.219455201781439957e-01,-3.397813327548372175e+00,-3.397813327548372175e+00
1.023599999999999994e+02,1.707014724449144316e-01,1.707014724449144316e-01,-2.593922978616389763e+00,5.476696749734032421e-01,-2.486120962084598762e+00,-2.486120962084598762e+00
1.029550000000000125e+02,1.969786637129028739e-01,1.969786637129029849e-01,-2.596566547432288541e+00,5.450261061575045751e-01,-1.288434208072598119e+00,-1.288434208072596121e+00
1.035499999999999972e+02,2.197163198612902268e-01,2.197163198612902268e-01,-2.613788265272497302e+00,5.278043883172957029e-01,-3.144796197819918482e-01,-3.144796197819918482e-01
1.041450000000000102e+02,2.370390238821330486e-01,2.370390238821330486e-01,-2.633988501534596516e+00,5.076041520551967112e-01,5.183924699388718915e-01,5.183924699388718915e-01
1.047399999999999949e+02,2.492193966696806817e-01,2.492193966696806817e-01,-2.648455449978050158e+00,4.931372036117430135e-01,1.190232712848772190e+00,1.190232712848772190e+00
1.053350000000000080e+02,2.587010315281982886e-01,2.587010315281982886e-01,-2.650637978200482525e+00,4.909546753893107573e-01,1.585838728173588841e+00,1.585838728173588841e+00
1.059299999999999926e+02,2.705181669915580622e-01,2.705181669915579512e-01,-2.637092025388829253e+00,5.045006282009643073e-01,1.380549328071830395e+00,1.380549328071829507e+00
1.065250000000000057e+02,2.922819663828556402e-01,2.922819663828556402e-01,-2.610934810035826725e+00,5.306578435539663907e-01,3.666957740901601037e-02,3.666957740901601037e-02
1.071199999999999903e+02,3.324848056957080966e-01,3.324848056957080966e-01,-2.585072563237274412e+00,5.565200903525188147e-01,-1.957590817388533244e+00,-1.957590817388533244e+00
1.077150000000000034e+02,3.963894394390836684e-01,3.963894394390836684e-01,-2.577374323770914799e+00,5.642183298188784280e-01,-3.267168883282590031e+00,-3.267168883282590031e+00
1.083100000000000023e+02,4.810167405243995775e-01,4.810167405243995775e-01,-2.598944017252855510e+00,5.426486363369377175e-01,-3.096801942747772429e+00,-3.096801942747772429e+00
1.089050000000000011e+02,5.749348201333799313e-01,5.749348201333799313e-01,-2.647901432098806573e+00,4.936912214909865981e-01,-1.976240784752926194e+00,-1.976240784752926194e+00
1.095000000000000142e+02,6.644662683964710492e-01,6.644662683964710492e-01,-2.714557512247512516e+00,4.270351413422806552e-01,-7.575710153035265515e-01,-7.575710153035265515e-01
1.100950000000000131e+02,7.401134366410305754e-01,7.401134366410305754e-01,-2.788994690765131068e+00,3.525979628246619924e-01,-1.655437402768681621e-01,-1.655437402768681621e-01
1.106899999999999977e+02,7.983359832897326536e-01,7.983359832897326536e-01,-2.864480448616565145e+00,2.771122049732280268e-01,3.410739995819861980e-01,3.410739995819861980e-01
1.112850000000000108e+02,8.394653345894317331e-01,8.394653345894317331e-01,-2.937043207219105501e+00,2.045494463706875321e-01,4.727824989211200091e-01,4.727824989211200091e-01
1.118799999999999955e+02,8.662749232533308863e-01,8.662749232533308863e-01,-3.004440746888284330e+00,1.371519067015089244e-01,5.997913993290890922e-01,5.997913993290890922e-01
1.124750000000000085e+02,8.839300383818966544e-01,8.839300383818966544e-01,-3.066143255382079325e+00,7.544939820771372208e-02,5.673307115807743051e-01,5.673307115807743051e-01
1.130699999999999932e+02,8.952675490714371298e-01,8.952675490714371298e-01,-3.122956710484873000e+00,1.863594310492036263e-02,4.245401064829986693e-01,4.245401064829986693e-01
1.136650000000000063e+02,9.024106826499783685e-01,9.024106826499783685e-01,-3.175547921796998185e+00,-3.395526820720530525e-02,3.578684813610606419e-01,3.578684813610606419e-01
